TOP,BOTTOM,STRATIGRAPHY_SYM,LITHOLOGY,MYUWI
0,15,Q,"piaski,żwiry,gliny",MY78
15,157.5,Jo,"margle,wapienie",MY78
157.5,239,Jkl3,"mułowce wapniste,piaskowce",MY78
239,287.5,Jkl1,"mułowce wapniste,iłowce,margle",MY78
287.5,385,Jbt,"mułowce,iłowce,piaskowce",MY78
385,477,Jbj3,"mułowce,iłowce,piaskowce",MY78
477,581,J2L,"mułowce,iłowce,piaskowce",MY78
581,632,Jto3,"piaskowce,mułowce,iłowce,węgle",MY78
632,716,Jto1,"piaskowce,mułowce,iłowce,węgle",MY78
716,982,Jpl3,"piaskowce,mułowce,iłowce",MY78
982,1063.5,Jpl1,"piaskowce,mułowce,iłowce",MY78
1063.5,1215,Js3,"piaskowce,mułowce,iłowce",MY78
1215,1410,Js1,"piaskowce,mułowce,iłowce",MY78
1410,1929,Jh,"piaskowce,mułowce,iłowce",MY78
1929,2301,T1,"iłowce,mułowce,piaskowce dolomityczne",MY78
2301,3041,Z4+Z3,,MY78
3047,3059,A2,,MY78
3059,3063,Ca2,,MY78
3041,3047,Na2,,MY78
0,14,Q,"gliny,piaski,żwiry",MY84
14,32.5,J3,"łupki,piaskowce",MY84
32.5,152.5,Jkl,"piaskowce,łupki,mułowce",MY84
152.5,293,Jbt,mułowce,MY84
293,358,Jbj3,"łupki,piaskowce,mułowce",MY84
358,553,Jbj1,"piaskowce,łupki,mułowce",MY84
553,585,Ja,"piaskowce,łupki",MY84
585,682,Jto3,"piaskowce,łupki",MY84
682,715.5,Jto1,"łupki,piaskowce,mułowce",MY84
715.5,1023.5,Jpl3,"piaskowce,łupki",MY84
1023.5,1076,Jpl1,iłowce,MY84
1076,1292.5,Js3,"piaskowce,łupki,mułowce",MY84
1292.5,1660,Js1,"łupki,piaskowce,mułowce",MY84
1660,1930,Jh,"piaskowce,łupki,mułowce",MY84
1930,2044.5,TRe,"łupki,piaskowce,mułowce",MY84
2044.5,3057,Na2,(nieokreślone),MY84
3057,3065.5,A2,(nieokreślone),MY84
3065.5,3119.6,Ca2,"wapienie,dolomity",MY84
3119.6,3215,A1G,(nieokreślone),MY84
3215,3250,Na1,(nieokreślone),MY84
3250,3292.5,A1D,(nieokreślone),MY84
3292.5,3300,Ca1,(nieokreślone),MY84
3300,3300.5,I1,(nieokreślone),MY84
3300.5,3364,Ps,mułowce,MY84
0,10,Q,"gliny,piaski,żwiry",MY83
10,34,J3,mułowce,MY83
34,98,Jkl3,"piaskowce,iłowce",MY83
98,157,Jkl1,"mułowce,piaskowce",MY83
157,185,Jbt3,mułowce,MY83
185,259,Jbt2,mułowce,MY83
259,271.5,Jbt1,mułowce,MY83
271.5,395,Jbj3,"łupki,mułowce",MY83
395,577.5,Jbj1,"piaskowce,łupki",MY83
577.5,620,Ja,piaskowce,MY83
620,705,Jto3,"piaskowce,łupki",MY83
705,749,Jto1,"łupki,piaskowce,mułowce",MY83
749,1033.5,Jpl3,"piaskowce,łupki,mułowce",MY83
1033.5,1125,Jpl1,"łupki,mułowce",MY83
1125,1280.5,Js3,"piaskowce,iłowce",MY83
1280.5,1306,Js1,"iłowce,mułowce",MY83
1306,1397,Tp3,"piaskowce,łupki,mułowce",MY83
1397,1829,Tp2,"piaskowce,łupki,mułowce",MY83
1829,2205.5,Tp1,"łupki,mułowce",MY83
2205.5,2206,A4G,(nieokreślone),MY83
2206,2285,Na4,(nieokreślone),MY83
2285,2287,A4D,(nieokreślone),MY83
2287,2307.5,I4,(nieokreślone),MY83
2307.5,3025.5,Na2,(nieokreślone),MY83
3025.5,3037,A2,(nieokreślone),MY83
3037,3039,Ca2,wapienie,MY83
0,16,Q,"gliny,piaski",MY82
16,26,J3,mułowce,MY82
26,148.5,Jkl,"iłowce,mułowce,piaskowce",MY82
148.5,296.5,Jbt,mułowce,MY82
296.5,393,Jbj3,"iłowce,mułowce",MY82
393,567,Jbj1,"iłowce,mułowce,piaskowce",MY82
567,602,Ja,piaskowce,MY82
602,637,Jto3,"piaskowce,iłowce",MY82
637,720,Jto1,"iłowce,mułowce,piaskowce",MY82
720,1042,Jpl3,"iłowce,mułowce,piaskowce",MY82
1042,1093,Jpl1,"iłowce,mułowce,piaskowce",MY82
1093,1304.5,Js3,"iłowce,mułowce,piaskowce",MY82
1304.5,1535,Js1,"iłowce,mułowce,piaskowce",MY82
1535,2093,TRe,"iłowce,mułowce,piaskowce",MY82
2093,2127.5,Tk,"iłowce,mułowce",MY82
2127.5,2295,T2,"iłowce,wapienie",MY82
2295,2390,Tp3,"iłowce,mułowce,piaskowce",MY82
2390,2492.5,Na3,(nieokreślone),MY82
2492.5,2649.5,A3,(nieokreślone),MY82
2649.5,2659,Ca3,(nieokreślone),MY82
2659,2663,A2G,(nieokreślone),MY82
2663,3209.5,Na2,(nieokreślone),MY82
3209.5,3221,A2,(nieokreślone),MY82
3221,3224.1,Ca2,wapienie,MY82
0,16,Q,"piaski,żwiry",MY81
16,26,J3,mułowce,MY81
26,152.5,Jkl,"mułowce,piaskowce",MY81
152.5,295,Jbt,"iłowce,mułowce,piaskowce",MY81
295,393,Jbj3,"mułowce,piaskowce",MY81
393,567,Jbj1,"iłowce,mułowce,piaskowce",MY81
567,602,Ja,"iłowce,mułowce",MY81
602,698,Jto3,"piaskowce,iłowce",MY81
698,747,Jto1,"iłowce,mułowce",MY81
747,1042,Jpl3,"iłowce,mułowce,piaskowce",MY81
1042,1095,Jpl1,"iłowce,mułowce",MY81
1095,1280,Js3,"piaskowce,iłowce",MY81
1280,1534,Js1,"piaskowce,iłowce",MY81
1534,1725,Jh,"piaskowce,iłowce",MY81
1725,2150,Tp1,"iłowce,mułowce",MY81
2150,2159,A4G,(nieokreślone),MY81
2159,2236.5,Na4,(nieokreślone),MY81
2236.5,2238,A4D,(nieokreślone),MY81
2238,2249.5,I4,(nieokreślone),MY81
2249.5,3068,Na2,(nieokreślone),MY81
3068,3079.2,A2,(nieokreślone),MY81
3079.2,3128,Ca2,"wapienie,dolomity",MY81
0,20,Q,"gliny,piaski,żwiry",MY80
20,30,J3,iłowce,MY80
30,170,Jkl,mułowce,MY80
170,285,Jbt,"łupki,mułowce",MY80
285,385,Jbj3,"łupki,piaskowce,mułowce",MY80
385,665,Jbj1,"łupki,piaskowce,mułowce",MY80
665,686.5,Ja,"łupki,piaskowce,mułowce",MY80
686.5,697,Jto3,"piaskowce,łupki",MY80
697,722,Jto1,"łupki,mułowce",MY80
722,786,Jpl3,"piaskowce,łupki",MY80
786,820,Jpl1,"łupki,piaskowce,mułowce",MY80
820,863,Js3,"łupki,mułowce",MY80
863,942,Js1,"łupki,mułowce",MY80
942,1142.5,Jh,"łupki,mułowce",MY80
1142.5,1187,TRe,"łupki,mułowce",MY80
1187,1221,Tk,"łupki,mułowce",MY80
1221,1326.5,T2,wapienie,MY80
1326.5,1508.5,Tp3,"łupki,piaskowce,mułowce",MY80
1508.5,1921.5,Tp2,iłowce,MY80
1921.5,2289,Tp1,"łupki,piaskowce,mułowce",MY80
2289,2298.5,A4G,(nieokreślone),MY80
2298.5,2394,Na4,(nieokreślone),MY80
2394,2395.5,A4D,(nieokreślone),MY80
2395.5,2414,I4,(nieokreślone),MY80
2414,2560,Na3,(nieokreślone),MY80
2560,2587,A3,(nieokreślone),MY80
2587,2595,Ca3,(nieokreślone),MY80
2595,2595.5,A2G,(nieokreślone),MY80
2595.5,3048,Na2,(nieokreślone),MY80
3048,3067,A2,(nieokreślone),MY80
3067,3075,Ca2,wapienie,MY80
0,22,Q,"gliny,piaski,żwiry",MY77
22,31,J3,margle,MY77
31,216.5,Jkl,"iłowce,mułowce,piaskowce",MY77
216.5,303,Jbt,"iłowce,mułowce",MY77
303,377,Jbj3,"iłowce,mułowce",MY77
377,531,Jbj1,"piaskowce,iłowce",MY77
531,553,Ja,"iłowce,mułowce,piaskowce",MY77
553,587,Jto3,piaskowce,MY77
587,615,Jto1,"iłowce,mułowce",MY77
615,848,Jpl3,"piaskowce,iłowce",MY77
848,895,Jpl1,"iłowce,mułowce",MY77
895,1035,Js3,iłowce,MY77
1035,1154.5,Js1,iłowce,MY77
1154.5,1347.5,Jh,"iłowce,mułowce",MY77
1347.5,1369.5,TRe,"iłowce,mułowce,piaskowce",MY77
1369.5,1396,Tk,"iłowce,mułowce",MY77
1396,1539.5,T2,"iłowce,wapienie",MY77
1539.5,1697.5,Tp3,"iłowce,mułowce,piaskowce",MY77
1697.5,2184,Tp2,"iłowce,mułowce,piaskowce",MY77
2184,2546,Tp1,"iłowce,mułowce,piaskowce",MY77
2546,2552,A4G,(nieokreślone),MY77
2552,2636,Na4,(nieokreślone),MY77
2636,2637,A4D,(nieokreślone),MY77
2637,2661,I4,(nieokreślone),MY77
2661,2775,Na3,(nieokreślone),MY77
2775,2877,A3,(nieokreślone),MY77
2877,2885.5,Ca3,(nieokreślone),MY77
2885.5,2892.5,A2G,(nieokreślone),MY77
2892.5,3058,Na2,(nieokreślone),MY77
3058,3077,A2,(nieokreślone),MY77
3077,3152.5,Ca2,dolomity,MY77
3152.5,3260,A1G,(nieokreślone),MY77
3260,3298,Na1,(nieokreślone),MY77
3298,3339,A1D,(nieokreślone),MY77
3339,3347,Ca1,wapienie,MY77
3347,3348,I1,(nieokreślone),MY77
3348,3496,Ps,"iłowce,mułowce,piaskowce",MY77
3496,3987,Pa,zlepieńce,MY77
3987,4000,C,wapienie,MY77
0,10,Q,"gliny,piaski,żwiry",MY76
10,156,Jkl,"piaskowce,łupki,mułowce",MY76
156,301,Jbt,"łupki,mułowce",MY76
301,398,Jbj3,"łupki,mułowce",MY76
398,578,Jbj1,"łupki,mułowce",MY76
578,609,Ja,iłowce,MY76
609,707,Jto3,"piaskowce,łupki",MY76
707,745,Jto1,"łupki,mułowce",MY76
745,1056,Jpl3,"piaskowce,łupki",MY76
1056,1109,Jpl1,"łupki,piaskowce,mułowce",MY76
1109,1308,Js3,iłowce,MY76
1308,1465.5,Js1,"piaskowce,łupki",MY76
1465.5,1610,Jh,"łupki,piaskowce",MY76
1610,1680.5,Tp2,"łupki,piaskowce,mułowce",MY76
1680.5,2132.5,Tp1,"łupki,mułowce",MY76
2132.5,2204,Na4,(nieokreślone),MY76
2204,2207,I4,(nieokreślone),MY76
2207,3024.5,Na2,(nieokreślone),MY76
3024.5,3036.7,A2,(nieokreślone),MY76
3036.7,3069,Ca2,wapienie,MY76
811,910,Tk3D,"iłowce,gipsy,anhydryty",MY35
910,991,Tk1,"iłowce,mułowce",MY35
991,1015,Tm3,"margle,iłowce margliste",MY35
1015,1045,Tm2,"margle,wapienie,dolomity",MY35
1045,1125,Tm1,"margle,wapienie,dolomity",MY35
1125,1278,Tp3,"piaskowce,mułowce",MY35
94,186,Jpl3,"piaskowce,mułki,iłowce,węgle brunatne",MY35
1278,1712,Tp2,"iłowce,mułowce,wapienie,gipsy,anhydryty",MY35
1712,2057,Tp1,,MY35
2057,2058,A4G,,MY35
2058,2125,Na4,,MY35
2125,2126,A4D,,MY35
2126,2129,I4,,MY35
2129,2232,Na3,"sole kamienne,anhydryty",MY35
2232,2250,A3,,MY35
2250,2255,Ca3,,MY35
2255,2256,I3,,MY35
2256,2258,A2G,,MY35
2258,2307,Na2,,MY35
2307,2320,A2,,MY35
2320,2345,Ca2,,MY35
2345,2356,A1G,,MY35
0,40,Q,"żwiry,piaski,gliny",MY35
186,392.5,Jpl1,"piaskowce,mułki,iłowce,węgle brunatne",MY35
392.5,456,Js3,"piaskowce,mułowce,iłowce,węgle brunatne",MY35
456,556,Js1,"piaskowce,mułowce,iłowce,węgle brunatne",MY35
556,684,Jh3+Jh1,"piaskowce,mułowce,iłowce,węgle brunatne",MY35
684,741,TRe3,"iłowce,mułowce,piaskowce",MY35
40,94,Jto1,"iłowce,mułki szare zielone",MY35
741,811,TRe1,"iłowce,mułowce",MY35
852,978,Tk3D,"iłowce,gipsy,anhydryty",MY36
978,1036,Tk1,"iłowce,mułowce",MY36
1036,1061,Tm3,margle,MY36
1061,1091,Tm2,"margle,wapienie",MY36
1091,1169,Tm1,"wapienie,dolomity",MY36
0,22,Q,"żwiry,piaski,gliny",MY36
1169,1358,Tp3,"piaskowce,mułowce,iłowce",MY36
1358,1737.5,Tp2,"piaskowce,mułowce,iłowce",MY36
1737.5,2054,Tp1,"iłowce,iłołupki,dolomity,wapienie",MY36
2054,2065,IP,,MY36
2065,2067.5,A4G,,MY36
2067.5,2125,Na4,"sole kamienne,iły czerwone",MY36
2125,2126.5,A4D,,MY36
2126.5,2138,I4,,MY36
2138,2140,A3G,,MY36
2140,2185,Na3,"sole kamienne,anhydryty",MY36
2185,2187.5,A3,,MY36
2187.5,2201.5,Ca3+I3,,MY36
2201.5,2205.5,A2G,,MY36
2205.5,2362,Na2,,MY36
2362,2370,A2,,MY36
2370,2398,Ca2,,MY36
2398,2430,A1G,anhydryty,MY36
106,231,Jpl3,"piaskowce,mułowce,iłowce,węgle brunatne",MY36
231,375,Jpl1,"piaskowce,mułki,iłowce,węgle brunatne",MY36
375,490,Js3,"piaskowce,mułowce,iłowce,węgle brunatne",MY36
490,598,Js1,"piaskowce,mułowce,iłowce,węgle brunatne",MY36
598,718,Jh3+Jh1,"piaskowce,mułowce,iłowce,węgle brunatne",MY36
718,781,TRe3,"iłowce,mułowce,piaskowce",MY36
22,106,Jto3,"iłowce,mułki szare zielone",MY36
781,852,TRe1,"iłowce,mułowce",MY36
0,42,Q,"gliny,piaski,żwiry",MY75
42,168.5,J2,piaskowce,MY75
168.5,214.5,Jto3,piaskowce,MY75
214.5,261.5,Jto1,iłowce,MY75
261.5,420,Jpl3,piaskowce,MY75
420,664,Jpl1,piaskowce,MY75
664,881,Js+Jh,iłowce,MY75
881,1072.5,Tk3D,iłowce,MY75
1072.5,1266,Tk1,iłowce,MY75
1266,1396,T2,iłowce,MY75
1396,1545.5,Tp3,iłowce,MY75
1545.5,1977,Tp2,piaskowce,MY75
1977,2304,Tp1,iłowce,MY75
2304,2305.5,A4G,(nieokreślone),MY75
2305.5,2405.5,Na4,(nieokreślone),MY75
2405.5,2406.5,A4D,(nieokreślone),MY75
2406.5,2415.5,I4,(nieokreślone),MY75
2415.5,2590.5,Na3,(nieokreślone),MY75
2590.5,2605,A3,(nieokreślone),MY75
2605,2613,Ca3,(nieokreślone),MY75
2613,2616,A2G,(nieokreślone),MY75
2616,2709,Na2,(nieokreślone),MY75
2709,2714,A2,(nieokreślone),MY75
2714,2759,Ca2,dolomity,MY75
2759,2918,A1G,(nieokreślone),MY75
2918,2991.5,Na1,(nieokreślone),MY75
2991.5,3055,A1D,(nieokreślone),MY75
3055,3060,Ca1,wapienie dolomityczne anhydrytowe,MY75
3060,3060.6,I1,iłowce wapniste czarne,MY75
3060.6,3061.5,Ps,zlepieńce,MY75
3061.5,3084.5,Pa,(nieokreślone),MY75
3084.5,3198,Cw,piaskowce,MY75
0,51.5,Q,"gliny,piaski,żwiry",MY74
51.5,203,J2,piaskowce,MY74
203,235,Jto3,piaskowce,MY74
235,286.5,Jto1,iłowce,MY74
286.5,462.5,Jpl3,piaskowce,MY74
462.5,712.5,Jpl1,iłowce,MY74
712.5,956.5,Js+Jh,iłowce,MY74
956.5,1130.5,TRe,iłowce,MY74
1130.5,1245,Tk3,iłowce,MY74
1245,1427,Tk1,iłowce,MY74
1427,1564.5,T2,"wapienie,dolomity",MY74
1564.5,1638,Tp3,iłowce,MY74
1638,1962.5,Tp2,piaskowce,MY74
1962.5,2290,Tp1,iłowce,MY74
2290,2349,Na4,(nieokreślone),MY74
2349,2350,A4D,(nieokreślone),MY74
2350,2358,I4,(nieokreślone),MY74
2358,2508,Na3,(nieokreślone),MY74
2508,2516,A3,(nieokreślone),MY74
2516,2541,Ca3,(nieokreślone),MY74
2541,2546,A2G,(nieokreślone),MY74
2546,2729,Na2,(nieokreślone),MY74
2729,2736,A2,(nieokreślone),MY74
2736,2770,Ca2,dolomity,MY74
2770,2943.5,A1G,(nieokreślone),MY74
2943.5,2972.5,Na1G,(nieokreślone),MY74
2972.5,2997,A1S,(nieokreślone),MY74
2997,3004,Na1D,(nieokreślone),MY74
3004,3070,A1D,(nieokreślone),MY74
3070,3074.3,Ca1,wapienie,MY74
3074.3,3075,I1,(nieokreślone),MY74
3075,3077.5,Ps,zlepieńce,MY74
3077.5,3310,Cw,"piaskowce,zlepieńce",MY74
2978.5,3068.4,A1D,(nieokreślone),MY73
3068.4,3072.4,Ca1,(nieokreślone),MY73
3072.4,3073,I1,(nieokreślone),MY73
3101,3259,Cw,"piaskowce,łupki,mułowce",MY73
3073,3074.5,Ps,zlepieńce,MY73
3074.5,3101,Pa,"porfiry,tufy",MY73
0,40,Q,"gliny,piaski,żwiry",MY73
40,157.5,J2,"łupki,piaskowce,mułowce",MY73
157.5,202.5,Jto3,"piaskowce,łupki",MY73
202.5,252.5,Jto1,"łupki,mułowce",MY73
252.5,419,Jpl3,"piaskowce,łupki,mułowce",MY73
419,654.5,Jpl1,"łupki,piaskowce,mułowce",MY73
654.5,817.5,Js+Jh,"łupki,piaskowce,mułowce",MY73
817.5,975.5,TRe,"łupki,mułowce",MY73
975.5,1039.5,Tk3D,"anhydryty,łupki",MY73
1039.5,1233,Tk1,"łupki,mułowce",MY73
1233,1362.5,T2,"wapienie,łupki",MY73
1362.5,1513.5,Tp3,"łupki,mułowce",MY73
1513.5,1944.5,Tp2,"piaskowce,łupki,mułowce",MY73
1944.5,2279.5,Tp1,"wapienie,łupki",MY73
2279.5,2281.5,A4G,(nieokreślone),MY73
2281.5,2392.5,Na4,(nieokreślone),MY73
2392.5,2395.5,A4D,(nieokreślone),MY73
2395.5,2426.5,I4,(nieokreślone),MY73
2426.5,2510.5,Na3,(nieokreślone),MY73
2510.5,2610.5,A3,(nieokreślone),MY73
2610.5,2617.5,Ca3,(nieokreślone),MY73
2617.5,2621,A2G,(nieokreślone),MY73
2621,2690.5,Na2,(nieokreślone),MY73
2690.5,2696,A2,(nieokreślone),MY73
2696,2739.5,Ca2,dolomity,MY73
2739.5,2914.5,A1G,(nieokreślone),MY73
2914.5,2978.5,Na1,(nieokreślone),MY73
0,55,Q,"gliny,piaski,żwiry",MY72
55,207.5,Jbj,"piaskowce,łupki,mułowce",MY72
207.5,232.5,Ja,"piaskowce,syderyty",MY72
232.5,277.5,Jto3,"piaskowce,łupki",MY72
277.5,350,Jto1,"łupki,mułowce",MY72
350,468,Jpl3,"piaskowce,łupki,mułowce",MY72
468,697.5,Jpl1,"łupki,piaskowce,mułowce",MY72
697.5,912,J1,"łupki,piaskowce",MY72
912,1032.5,TRe,"łupki,piaskowce,mułowce",MY72
1032.5,1098,Tk3D,"anhydryty,łupki",MY72
1098,1295,Tk1,"łupki,piaskowce,mułowce",MY72
1295,1423.5,T2,"wapienie,łupki",MY72
1423.5,1574,Tp3,"łupki,piaskowce,mułowce",MY72
1574,2006,Tp2,"piaskowce,łupki,mułowce",MY72
2006,2334,Tp1,"łupki,piaskowce,mułowce",MY72
2334,2364,Na4,(nieokreślone),MY72
2364,2365,A4D,(nieokreślone),MY72
2365,2369.5,I4,(nieokreślone),MY72
2369.5,2535,Na3,(nieokreślone),MY72
2535,2631.5,A3,(nieokreślone),MY72
2631.5,2640,Ca3,(nieokreślone),MY72
2640,2643,A2G,(nieokreślone),MY72
2643,2729.5,Na2,(nieokreślone),MY72
2729.5,2742.5,A2,(nieokreślone),MY72
2742.5,2785,Ca2,dolomity,MY72
2785,2988.5,A1G,(nieokreślone),MY72
2988.5,2993,Na1,(nieokreślone),MY72
2993,3072,A1D,(nieokreślone),MY72
3072,3075.5,Ca1,(nieokreślone),MY72
3075.5,3081.5,Ps,"piaskowce,zlepieńce",MY72
3081.5,3305,Cw,"piaskowce,łupki",MY72
0,75,Q,"gliny,piaski",MY71
75,100,Jp3,"łupki,margle",MY71
100,126,Jp2,"margle,wapienie",MY71
126,217,Jo,wapienie oolitowe,MY71
217,298.1,Jkl3,"łupki,mułowce",MY71
298.1,337,Jkl1,mułowce,MY71
337,357,Jbt3,"łupki,mułowce",MY71
357,379,Jbt2,mułowce,MY71
379,397,Jbt1,mułowce,MY71
397,490,Jbj,piaskowce,MY71
490,733,Jto3,piaskowce,MY71
733,809.5,Jto1,"piaskowce,łupki",MY71
809.5,897.5,Jpl3,"łupki,piaskowce",MY71
897.5,1075,Jpl1,"łupki,piaskowce",MY71
1075,1236.5,Js,"piaskowce,łupki",MY71
1236.5,1424,Jh,piaskowce,MY71
1424,1538.5,TRe3,iłowce,MY71
1538.5,1667,TRe1,iłowce,MY71
1667,1785,Tk3,iłowce,MY71
1785,1909,Tk1,"łupki,piaskowce",MY71
1909,1927.5,Tm3,"łupki,piaskowce",MY71
1927.5,1963,Tm2,"anhydryty,łupki",MY71
1963,2030,Tm1,wapienie,MY71
2030,2047,Tp3,dolomity,MY71
2047,2200.2,Na2,(nieokreślone),MY71
2200.2,2271,Na3,(nieokreślone),MY71
2271,2802,Na2,(nieokreślone),MY71
2802,2806,A2,(nieokreślone),MY71
2806,2814,Ca2,wapienie,MY71
2814,2819.1,A1G,(nieokreślone),MY71
0,62.5,Q+Tr,"gliny,piaski",MY70
62.5,276.5,J2,"piaskowce,łupki,mułowce",MY70
276.5,1490.5,J1,"piaskowce,łupki",MY70
1490.5,2623,Na2,(nieokreślone),MY70
2623,2626,A2,(nieokreślone),MY70
2626,2628,I3,(nieokreślone),MY70
2628,2634,Ca3,(nieokreślone),MY70
2634,2644,A3,(nieokreślone),MY70
2644,2658,Kz2,(nieokreślone),MY70
2658,2792,Na2D,(nieokreślone),MY70
2792,2895,A2,(nieokreślone),MY70
2895,2915,Ca2,wapienie,MY70
2915,2950,A1G,(nieokreślone),MY70
2950,3004.5,Na1,(nieokreślone),MY70
3004.5,3034,A1D,(nieokreślone),MY70
3034,3045.5,Ca1,wapienie,MY70
3045.5,3046,I1,iłowce,MY70
3046,3136,Ps,"piaskowce,zlepieńce",MY70
3136,3141.2,Pa,(nieokreślone),MY70
0,30,Q,"piaski,żwiry",MY69
30,80,Jp,"piaskowce,margle",MY69
80,201,Jo,"wapienie,piaskowce",MY69
201,268,Jkl,mułowce,MY69
268,346,Jbt,iłowce,MY69
346,447,Jbj,piaskowce,MY69
447,540,Jpl3,"piaskowce,łupki,mułowce",MY69
540,911,Jpl1,mułowce,MY69
911,1132.5,Js+Jh,piaskowce,MY69
1132.5,1391.5,TRe,"łupki,mułowce",MY69
1391.5,1417.5,Tk3T,"piaskowce,łupki",MY69
1417.5,1550.5,Tk3D,iłowce,MY69
1550.5,1736,Tk1,iłowce,MY69
1736,1832,T2,"łupki,mułowce",MY69
1832,1887.5,Tp3,"piaskowce,łupki",MY69
1887.5,1999.5,Z4,"anhydryty,sole",MY69
1999.5,2111,Na3,(nieokreślone),MY69
2111,2165.5,A3,(nieokreślone),MY69
2165.5,2169,Ca3,dolomity,MY69
2169,2171,I3,(nieokreślone),MY69
2171,2174,A2G,(nieokreślone),MY69
2174,2873.5,Na2,(nieokreślone),MY69
2873.5,2876.5,A2,(nieokreślone),MY69
2876.5,2889.5,Ca2,wapienie,MY69
2889.5,2963,A1G,(nieokreślone),MY69
2963,3010,Na1,(nieokreślone),MY69
3010,3056.5,A1D,(nieokreślone),MY69
3056.5,3062,Ca1,wapienie,MY69
3062,3063,I1,iłołupki,MY69
3063,3122,Ps,piaskowce,MY69
3122,3132.7,Pa,(nieokreślone),MY69
0,48,Q,"piaski,żwiry",MY68
48,60,J3,"wapienie,łupki",MY68
60,362,J2,"margle,piaskowce",MY68
362,1102,J1,"piaskowce,łupki",MY68
1102,1309,Tk3T,(nieokreślone),MY68
1309,1537.5,Tk3D,(nieokreślone),MY68
1537.5,1666,Tk1,(nieokreślone),MY68
1666,1697.5,T2,"wapienie,łupki",MY68
1697.5,1759,Tp3,piaskowce,MY68
1759,1976.5,Z4,(nieokreślone),MY68
1976.5,2008,A3,(nieokreślone),MY68
2008,2834.5,Na2,(nieokreślone),MY68
2834.5,2839.5,A2,(nieokreślone),MY68
2839.5,2858,Ca2,"wapienie,dolomity",MY68
2858,2872.4,A1G,(nieokreślone),MY68
0,75,Q,"gliny,piaski,żwiry",MY67
75,150.5,K3,"łupki,margle",MY67
150.5,153.5,K,piaskowce,MY67
153.5,180,J3,"łupki,mułowce",MY67
180,398,Jkl,"piaskowce,łupki",MY67
398,521.5,Jbt,"łupki,piaskowce",MY67
521.5,578,Jbj,"łupki,mułowce",MY67
578,689.5,Jto3,"łupki,mułowce",MY67
689.5,742,Jto1,"łupki,piaskowce",MY67
742,802.5,Jpl3,"łupki,mułowce",MY67
802.5,1098,Jpl1,"łupki,piaskowce,mułowce",MY67
1098,1188,Js+Jh,"piaskowce,łupki",MY67
1188,1325,TRe,"piaskowce,łupki",MY67
